year,indicator,sub_row,value
2026,"Производство и распределение электроэнергии, газа и воды",value,13115.180496765961
2027,"Производство и распределение электроэнергии, газа и воды",value,14756.89659076672
2028,"Производство и распределение электроэнергии, газа и воды",value,17826.267284089194
2029,"Производство и распределение электроэнергии, газа и воды",value,21578.678276209706
2030,"Производство и распределение электроэнергии, газа и воды",value,23569.65584679971
2031,"Производство и распределение электроэнергии, газа и воды",value,25401.1617506848
2032,"Производство и распределение электроэнергии, газа и воды",value,27346.61241890071
2033,"Производство и распределение электроэнергии, газа и воды",value,29388.221518041835
2034,"Производство и распределение электроэнергии, газа и воды",value,31592.01543242525
2035,"Производство и распределение электроэнергии, газа и воды",value,33951.1155296504
2013,"Производство и распределение электроэнергии, газа и воды",Темп роста к предыдущему году в %,105.6
2014,"Производство и распределение электроэнергии, газа и воды",Темп роста к предыдущему году в %,106.8
2015,"Производство и распределение электроэнергии, газа и воды",Темп роста к предыдущему году в %,111.5
2016,"Производство и распределение электроэнергии, газа и воды",Темп роста к предыдущему году в %,103.7
2017,"Производство и распределение электроэнергии, газа и воды",Темп роста к предыдущему году в %,116.5
2018,"Производство и распределение электроэнергии, газа и воды",Темп роста к предыдущему году в %,107.5
2019,"Производство и распределение электроэнергии, газа и воды",Темп роста к предыдущему году в %,105.6
2020,"Производство и распределение электроэнергии, газа и воды",Темп роста к предыдущему году в %,100.1
2021,"Производство и распределение электроэнергии, газа и воды",Темп роста к предыдущему году в %,112.7
2022,"Производство и распределение электроэнергии, газа и воды",Темп роста к предыдущему году в %,117.5
2023,"Производство и распределение электроэнергии, газа и воды",Темп роста к предыдущему году в %,107.1
2024,"Производство и распределение электроэнергии, газа и воды",Темп роста к предыдущему году в %,105.7
2025,"Производство и распределение электроэнергии, газа и воды",Темп роста к предыдущему году в %,113
2026,"Производство и распределение электроэнергии, газа и воды",Темп роста к предыдущему году в %,108.22722005796955
2027,"Производство и распределение электроэнергии, газа и воды",Темп роста к предыдущему году в %,112.76928853806145
2028,"Производство и распределение электроэнергии, газа и воды",Темп роста к предыдущему году в %,121.29668523878343
2029,"Производство и распределение электроэнергии, газа и воды",Темп роста к предыдущему году в %,121.19792219999404
2030,"Производство и распределение электроэнергии, газа и воды",Темп роста к предыдущему году в %,109.22659648151406
2031,"Производство и распределение электроэнергии, газа и воды",Темп роста к предыдущему году в %,107.77060944712001
2032,"Производство и распределение электроэнергии, газа и воды",Темп роста к предыдущему году в %,107.65890429465676
2033,"Производство и распределение электроэнергии, газа и воды",Темп роста к предыдущему году в %,107.46567460666559
2034,"Производство и распределение электроэнергии, газа и воды",Темп роста к предыдущему году в %,107.4989019428429
2035,"Производство и распределение электроэнергии, газа и воды",Темп роста к предыдущему году в %,107.4673934693126
2013,"Инвестиции в основной капитал, млн. сомони",value,5796.799999999999
2014,"Инвестиции в основной капитал, млн. сомони",value,7495.2
2015,"Инвестиции в основной капитал, млн. сомони",value,9749.9
2016,"Инвестиции в основной капитал, млн. сомони",value,11509.2
2017,"Инвестиции в основной капитал, млн. сомони",value,11806.3
2018,"Инвестиции в основной капитал, млн. сомони",value,13361
2019,"Инвестиции в основной капитал, млн. сомони",value,12517.8
2020,"Инвестиции в основной капитал, млн. сомони",value,11616.9
2021,"Инвестиции в основной капитал, млн. сомони",value,14757.2
2022,"Инвестиции в основной капитал, млн. сомони",value,16279.5
2023,"Инвестиции в основной капитал, млн. сомони",value,19859
2024,"Инвестиции в основной капитал, млн. сомони",value,22543
2025,"Инвестиции в основной капитал, млн. сомони",value,28736
2026,"Инвестиции в основной капитал, млн. сомони",value,32767.971999999998
2027,"Инвестиции в основной капитал, млн. сомони",value,38923.92156
2028,"Инвестиции в основной капитал, млн. сомони",value,44524.43081040001
2029,"Инвестиции в основной капитал, млн. сомони",value,51375.48391236
2030,"Инвестиции в основной капитал, млн. сомони",value,55564.0617657792
2031,"Инвестиции в основной капитал, млн. сомони",value,63254.94883659063
2032,"Инвестиции в основной капитал, млн. сомони",value,73256.89332081945
2033,"Инвестиции в основной капитал, млн. сомони",value,91342.98609508443
2034,"Инвестиции в основной капитал, млн. сомони",value,114213.0994791697
2035,"Инвестиции в основной капитал, млн. сомони",value,143190.44475016196
2013,"Инвестиции в основной капитал, млн. сомони",Темп роста к предыдущему году в %,117.2
2014,"Инвестиции в основной капитал, млн. сомони",Темп роста к предыдущему году в %,125.3
2015,"Инвестиции в основной капитал, млн. сомони",Темп роста к предыдущему году в %,121.2
2016,"Инвестиции в основной капитал, млн. сомони",Темп роста к предыдущему году в %,120.3
2017,"Инвестиции в основной капитал, млн. сомони",Темп роста к предыдущему году в %,104.1
2018,"Инвестиции в основной капитал, млн. сомони",Темп роста к предыдущему году в %,110.2
2019,"Инвестиции в основной капитал, млн. сомони",Темп роста к предыдущему году в %,104.6
2020,"Инвестиции в основной капитал, млн. сомони",Темп роста к предыдущему году в %,104
2021,"Инвестиции в основной капитал, млн. сомони",Темп роста к предыдущему году в %,132.1
2022,"Инвестиции в основной капитал, млн. сомони",Темп роста к предыдущему году в %,111.4
2023,"Инвестиции в основной капитал, млн. сомони",Темп роста к предыдущему году в %,112.3
2024,"Инвестиции в основной капитал, млн. сомони",Темп роста к предыдущему году в %,114.38905264772578
2025,"Инвестиции в основной капитал, млн. сомони",Темп роста к предыдущему году в %,68.09244401071317
2026,"Инвестиции в основной капитал, млн. сомони",Темп роста к предыдущему году в %,173.24992872393935
2027,"Инвестиции в основной капитал, млн. сомони",Темп роста к предыдущему году в %,116.08605509492818
2028,"Инвестиции в основной капитал, млн. сомони",Темп роста к предыдущему году в %,110.87035705184428
2029,"Инвестиции в основной капитал, млн. сомони",Темп роста к предыдущему году в %,125.03680854928925
2030,"Инвестиции в основной капитал, млн. сомони",Темп роста к предыдущему году в %,115.54982397635719
2031,"Инвестиции в основной капитал, млн. сомони",Темп роста к предыдущему году в %,116.540573684068
2032,"Инвестиции в основной капитал, млн. сомони",Темп роста к предыдущему году в %,114.67559181842475
2033,"Инвестиции в основной капитал, млн. сомони",Темп роста к предыдущему году в %,138.94089544808796
2034,"Инвестиции в основной капитал, млн. сомони",Темп роста к предыдущему году в %,128.38684604357985
2035,"Инвестиции в основной капитал, млн. сомони",Темп роста к предыдущему году в %,130.59510157906368
2013,"Внутренная торговля, млн. сомони",value,11586.3
2014,"Внутренная торговля, млн. сомони",value,13122.1
2015,"Внутренная торговля, млн. сомони",value,14696.7
2016,"Внутренная торговля, млн. сомони",value,16573.4
2017,"Внутренная торговля, млн. сомони",value,18959.6
2018,"Внутренная торговля, млн. сомони",value,20989
2019,"Внутренная торговля, млн. сомони",value,25456.8
2020,"Внутренная торговля, млн. сомони",value,27599.7
2021,"Внутренная торговля, млн. сомони",value,33797.9
2022,"Внутренная торговля, млн. сомони",value,47563.399999999994
2023,"Внутренная торговля, млн. сомони",value,56124.4
2024,"Внутренная торговля, млн. сомони",value,65783.8
2025,"Внутренная торговля, млн. сомони",value,77307.1
2026,"Внутренная торговля, млн. сомони",value,89946.5411776699
2027,"Внутренная торговля, млн. сомони",value,105319.773929044
2028,"Внутренная торговля, млн. сомони",value,120054.47057104275
2029,"Внутренная торговля, млн. сомони",value,138358.42123583407
2030,"Внутренная торговля, млн. сомони",value,149157.7179315917
2031,"Внутренная торговля, млн. сомони",value,160879.0743705131
2032,"Внутренная торговля, млн. сомони",value,174656.34444130448
2033,"Внутренная торговля, млн. сомони",value,194923.91701782183
2034,"Внутренная торговля, млн. сомони",value,210618.08386618146
2035,"Внутренная торговля, млн. сомони",value,228337.24860437328
2013,"Внутренная торговля, млн. сомони",Темп роста к предыдущему году в %,0
2014,"Внутренная торговля, млн. сомони",Темп роста к предыдущему году в %,0
2015,"Внутренная торговля, млн. сомони",Темп роста к предыдущему году в %,0
2016,"Внутренная торговля, млн. сомони",Темп роста к предыдущему году в %,0
2017,"Внутренная торговля, млн. сомони",Темп роста к предыдущему году в %,0
2018,"Внутренная торговля, млн. сомони",Темп роста к предыдущему году в %,115.4
2019,"Внутренная торговля, млн. сомони",Темп роста к предыдущему году в %,109
2020,"Внутренная торговля, млн. сомони",Темп роста к предыдущему году в %,93.2
2021,"Внутренная торговля, млн. сомони",Темп роста к предыдущему году в %,113
2022,"Внутренная торговля, млн. сомони",Темп роста к предыдущему году в %,111.2
2023,"Внутренная торговля, млн. сомони",Темп роста к предыдущему году в %,113.4
2024,"Внутренная торговля, млн. сомони",Темп роста к предыдущему году в %,113.6
2025,"Внутренная торговля, млн. сомони",Темп роста к предыдущему году в %,113.9
2026,"Внутренная торговля, млн. сомони",Темп роста к предыдущему году в %,114.3279423781605
2027,"Внутренная торговля, млн. сомони",Темп роста к предыдущему году в %,114.4652322077294
2028,"Внутренная торговля, млн. сомони",Темп роста к предыдущему году в %,113.63166095807681
2029,"Внутренная торговля, млн. сомони",Темп роста к предыдущему году в %,113.89224358350485
2030,"Внутренная торговля, млн. сомони",Темп роста к предыдущему году в %,108.36872265199328
2031,"Внутренная торговля, млн. сомони",Темп роста к предыдущему году в %,109.8489746524762
2032,"Внутренная торговля, млн. сомони",Темп роста к предыдущему году в %,109.32916297519593
2033,"Внутренная торговля, млн. сомони",Темп роста к предыдущему году в %,109.35302151139886
2034,"Внутренная торговля, млн. сомони",Темп роста к предыдущему году в %,106.10895341643496
2035,"Внутренная торговля, млн. сомони",Темп роста к предыдущему году в %,106.39788604260637
2013,"Платные услуги, млн. сомони",value,11566.3
2014,"Платные услуги, млн. сомони",value,12757.6
2015,"Платные услуги, млн. сомони",value,11782.9
2016,"Платные услуги, млн. сомони",value,11729
2017,"Платные услуги, млн. сомони",value,11998.8
2018,"Платные услуги, млн. сомони",value,12130.8
2019,"Платные услуги, млн. сомони",value,12983.6
2020,"Платные услуги, млн. сомони",value,13110.4
2021,"Платные услуги, млн. сомони",value,15111.8
2022,"Платные услуги, млн. сомони",value,18696.8
2023,"Платные услуги, млн. сомони",value,21760.3
2024,"Платные услуги, млн. сомони",value,25722.9
2025,"Платные услуги, млн. сомони",value,30470.2
2026,"Платные услуги, млн. сомони",value,35439.75516519846
2027,"Платные услуги, млн. сомони",value,41254.48471536223
2028,"Платные услуги, млн. сомони",value,47612.18209392049
2029,"Платные услуги, млн. сомони",value,51548.63520833778
2030,"Платные услуги, млн. сомони",value,56661.40390494502
2031,"Платные услуги, млн. сомони",value,62425.43938868936
2032,"Платные услуги, млн. сомони",value,64323.56419321699
2033,"Платные услуги, млн. сомони",value,76394.86896751015
2034,"Платные услуги, млн. сомони",value,87007.68241064626
2035,"Платные услуги, млн. сомони",value,83427.50683419443
2013,"Платные услуги, млн. сомони",Темп роста к предыдущему году в %,0
2014,"Платные услуги, млн. сомони",Темп роста к предыдущему году в %,106.08200283030205
2015,"Платные услуги, млн. сомони",Темп роста к предыдущему году в %,89.10084938814873
2016,"Платные услуги, млн. сомони",Темп роста к предыдущему году в %,94.91966245391592
2017,"Платные услуги, млн. сомони",Темп роста к предыдущему году в %,96.00573677095653
2018,"Платные услуги, млн. сомони",Темп роста к предыдущему году в %,92.61396139613962
2019,"Платные услуги, млн. сомони",Темп роста к предыдущему году в %,102.9
2020,"Платные услуги, млн. сомони",Темп роста к предыдущему году в %,97.4
2021,"Платные услуги, млн. сомони",Темп роста к предыдущему году в %,107.9
2022,"Платные услуги, млн. сомони",Темп роста к предыдущему году в %,116
2023,"Платные услуги, млн. сомони",Темп роста к предыдущему году в %,114.1
2024,"Платные услуги, млн. сомони",Темп роста к предыдущему году в %,113
2025,"Платные услуги, млн. сомони",Темп роста к предыдущему году в %,113.2
2026,"Платные услуги, млн. сомони",Темп роста к предыдущему году в %,114.9303940053814
2027,"Платные услуги, млн. сомони",Темп роста к предыдущему году в %,113.901530110427
2028,"Платные услуги, млн. сомони",Темп роста к предыдущему году в %,113.70534406322643
2029,"Платные услуги, млн. сомони",Темп роста к предыдущему году в %,108.1595839667325
2030,"Платные услуги, млн. сомони",Темп роста к предыдущему году в %,109.69894171168636
2031,"Платные услуги, млн. сомони",Темп роста к предыдущему году в %,109.62464884840513
2032,"Платные услуги, млн. сомони",Темп роста к предыдущему году в %,102.52798712780707
2033,"Платные услуги, млн. сомони",Темп роста к предыдущему году в %,118.17565762402712
2034,"Платные услуги, млн. сомони",Темп роста к предыдущему году в %,113.32542294904846
2035,"Платные услуги, млн. сомони",Темп роста к предыдущему году в %,95.40817811851213
2013,"Инфляция, %",value,103.7
2014,"Инфляция, %",value,107.4
2015,"Инфляция, %",value,105.1
2016,"Инфляция, %",value,106.1
2017,"Инфляция, %",value,106.7411
2018,"Инфляция, %",value,105.37888685927308
2019,"Инфляция, %",value,108
2020,"Инфляция, %",value,109.4
2021,"Инфляция, %",value,108
2022,"Инфляция, %",value,104.2
2023,"Инфляция, %",value,103.8
2024,"Инфляция, %",value,103.6
2025,"Инфляция, %",value,103.5
2026,"Инфляция, %",value,102.41615783032842
2027,"Инфляция, %",value,104.26809893578867
2028,"Инфляция, %",value,104.80070002414024
2029,"Инфляция, %",value,104.1809609368155
2030,"Инфляция, %",value,103.90637291476378
2031,"Инфляция, %",value,105.03247240189455
2032,"Инфляция, %",value,104.72672897287403
2033,"Инфляция, %",value,104.57101867456707
2034,"Инфляция, %",value,104.69616681622347
2035,"Инфляция, %",value,104.91717480500677
2013,Внешнеторговый оборот,value,4988.8
2014,Внешнеторговый оборот,value,5274.7
2015,Внешнеторговый оборот,value,4326.2
2016,Внешнеторговый оборот,value,3929.8999999999996
2017,Внешнеторговый оборот,value,3972.9
2018,Внешнеторговый оборот,value,4224.3
2019,Внешнеторговый оборот,value,4523.700000000001
2020,Внешнеторговый оборот,value,4556.9
2021,Внешнеторговый оборот,value,6359.1
2022,Внешнеторговый оборот,value,7309.5
2023,Внешнеторговый оборот,value,7741.578
2024,Внешнеторговый оборот,value,8955.1
2025,Внешнеторговый оборот,value,10793.1
2026,Внешнеторговый оборот,value,11021.821093391853
2027,Внешнеторговый оборот,value,11200.54343210759
2028,Внешнеторговый оборот,value,11336.519473618624
2029,Внешнеторговый оборот,value,11664.518684381677
2030,Внешнеторговый оборот,value,11979.383323665872
2031,Внешнеторговый оборот,value,11976.166589603115
2032,Внешнеторговый оборот,value,12300.475923843846
2033,Внешнеторговый оборот,value,11840.392579337022
2034,Внешнеторговый оборот,value,11378.756557283907
2035,Внешнеторговый оборот,value,13564.672488222486
2013,Внешнеторговый оборот,Темп роста к предыдущему году в %,0
2014,Внешнеторговый оборот,Темп роста к предыдущему году в %,0
2015,Внешнеторговый оборот,Темп роста к предыдущему году в %,0
2016,Внешнеторговый оборот,Темп роста к предыдущему году в %,90.83953585132448
2017,Внешнеторговый оборот,Темп роста к предыдущему году в %,101.09417542431108
2018,Внешнеторговый оборот,Темп роста к предыдущему году в %,106.32787132824888
2019,Внешнеторговый оборот,Темп роста к предыдущему году в %,107.08756480363613
2020,Внешнеторговый оборот,Темп роста к предыдущему году в %,100.7339125052501
2021,Внешнеторговый оборот,Темп роста к предыдущему году в %,139.5488160811078
2022,Внешнеторговый оборот,Темп роста к предыдущему году в %,114.94551115723924
2023,Внешнеторговый оборот,Темп роста к предыдущему году в %,105.91118407551816
2024,Внешнеторговый оборот,Темп роста к предыдущему году в %,115.67538297747566
2025,Внешнеторговый оборот,Темп роста к предыдущему году в %,120.52461725720538
2026,Внешнеторговый оборот,Темп роста к предыдущему году в %,102.1191417979251
2027,Внешнеторговый оборот,Темп роста к предыдущему году в %,101.62153184307165
2028,Внешнеторговый оборот,Темп роста к предыдущему году в %,101.2140128944212
2029,Внешнеторговый оборот,Темп роста к предыдущему году в %,102.89329729046331
2030,Внешнеторговый оборот,Темп роста к предыдущему году в %,102.69933674765154
2031,Внешнеторговый оборот,Темп роста к предыдущему году в %,99.97314774912994
2032,Внешнеторговый оборот,Темп роста к предыдущему году в %,102.70795610443724
2033,Внешнеторговый оборот,Темп роста к предыдущему году в %,96.25962973013934
2034,Внешнеторговый оборот,Темп роста к предыдущему году в %,96.10117638448298
2035,Внешнеторговый оборот,Темп роста к предыдущему году в %,119.21049914315378
2013,"Экспорт товаров, млн. долл. США",value,943.4
2014,"Экспорт товаров, млн. долл. США",value,977.3
2015,"Экспорт товаров, млн. долл. США",value,890.6
2016,"Экспорт товаров, млн. долл. США",value,898.7
2017,"Экспорт товаров, млн. долл. США",value,1198
2018,"Экспорт товаров, млн. долл. США",value,1073.3
2019,"Экспорт товаров, млн. долл. США",value,1174.4
2020,"Экспорт товаров, млн. долл. США",value,1406.9
2021,"Экспорт товаров, млн. долл. США",value,2149.6
2022,"Экспорт товаров, млн. долл. США",value,2142
2023,"Экспорт товаров, млн. долл. США",value,1861.478
2024,"Экспорт товаров, млн. долл. США",value,1947.5
2025,"Экспорт товаров, млн. долл. США",value,2487.9
2026,"Экспорт товаров, млн. долл. США",value,2672.7851308695854
2027,"Экспорт товаров, млн. долл. США",value,2840.45864028228
2028,"Экспорт товаров, млн. долл. США",value,2973.46682215844
2029,"Экспорт товаров, млн. долл. США",value,3140.6395578060606
2030,"Экспорт товаров, млн. долл. США",value,3298.4752801084705
2031,"Экспорт товаров, млн. долл. США",value,3051.718721744787
2032,"Экспорт товаров, млн. долл. США",value,3206.4233036194364
2033,"Экспорт товаров, млн. долл. США",value,3486.8409223060944
2034,"Экспорт товаров, млн. долл. США",value,3794.584722181057
2035,"Экспорт товаров, млн. долл. США",value,4161.364118186391
2013,"Экспорт товаров, млн. долл. США",Темп роста к предыдущему году в %,0
2014,"Экспорт товаров, млн. долл. США",Темп роста к предыдущему году в %,0
2015,"Экспорт товаров, млн. долл. США",Темп роста к предыдущему году в %,91.12861966642792
2016,"Экспорт товаров, млн. долл. США",Темп роста к предыдущему году в %,100.90949921401302
2017,"Экспорт товаров, млн. долл. США",Темп роста к предыдущему году в %,133.30366084344053
2018,"Экспорт товаров, млн. долл. США",Темп роста к предыдущему году в %,89.59098497495826
2019,"Экспорт товаров, млн. долл. США",Темп роста к предыдущему году в %,109.41954719090657
2020,"Экспорт товаров, млн. долл. США",Темп роста к предыдущему году в %,119.79734332425068
2021,"Экспорт товаров, млн. долл. США",Темп роста к предыдущему году в %,152.78982159357452
2022,"Экспорт товаров, млн. долл. США",Темп роста к предыдущему году в %,99.64644585039078
2023,"Экспорт товаров, млн. долл. США",Темп роста к предыдущему году в %,86.90373482726424
2024,"Экспорт товаров, млн. долл. США",Темп роста к предыдущему году в %,104.62116662136216
2025,"Экспорт товаров, млн. долл. США",Темп роста к предыдущему году в %,127.74839537869063
2026,"Экспорт товаров, млн. долл. США",Темп роста к предыдущему году в %,107.431373080493
2027,"Экспорт товаров, млн. долл. США",Темп роста к предыдущему году в %,106.27336284821902
2028,"Экспорт товаров, млн. долл. США",Темп роста к предыдущему году в %,104.68263047346966
2029,"Экспорт товаров, млн. долл. США",Темп роста к предыдущему году в %,105.62214901480789
2030,"Экспорт товаров, млн. долл. США",Темп роста к предыдущему году в %,105.02559174325208
2031,"Экспорт товаров, млн. долл. США",Темп роста к предыдущему году в %,92.51907207394416
2032,"Экспорт товаров, млн. долл. США",Темп роста к предыдущему году в %,105.06942467444046
2033,"Экспорт товаров, млн. долл. США",Темп роста к предыдущему году в %,108.74549590411597
2034,"Экспорт товаров, млн. долл. США",Темп роста к предыдущему году в %,108.82586291523243
2035,"Экспорт товаров, млн. долл. США",Темп роста к предыдущему году в %,109.6658639313373
2013,"Импорт товаров, млн.долл. США",value,4045.4
2014,"Импорт товаров, млн.долл. США",value,4297.4
2015,"Импорт товаров, млн.долл. США",value,3435.6
2016,"Импорт товаров, млн.долл. США",value,3031.2
2017,"Импорт товаров, млн.долл. США",value,2774.9
2018,"Импорт товаров, млн.долл. США",value,3151
2019,"Импорт товаров, млн.долл. США",value,3349.3
2020,"Импорт товаров, млн.долл. США",value,3150
2021,"Импорт товаров, млн.долл. США",value,4209.5
2022,"Импорт товаров, млн.долл. США",value,5167.5
2023,"Импорт товаров, млн.долл. США",value,5880.1
2024,"Импорт товаров, млн.долл. США",value,7007.6
2025,"Импорт товаров, млн.долл. США",value,8305.2
2026,"Импорт товаров, млн.долл. США",value,8349.035962522266
2027,"Импорт товаров, млн.долл. США",value,8360.08479182531
2028,"Импорт товаров, млн.долл. США",value,8363.052651460184
2029,"Импорт товаров, млн.долл. США",value,8523.879126575617
2030,"Импорт товаров, млн.долл. США",value,8680.908043557401
2031,"Импорт товаров, млн.долл. США",value,8924.447867858327
2032,"Импорт товаров, млн.долл. США",value,9094.05262022441
2033,"Импорт товаров, млн.долл. США",value,8353.551657030926
2034,"Импорт товаров, млн.долл. США",value,7584.17183510285
2035,"Импорт товаров, млн.долл. США",value,9403.308370036095
2014,"Импорт товаров, млн.долл. США",Темп роста к предыдущему году в %,106.2292974736738
2015,"Импорт товаров, млн.долл. США",Темп роста к предыдущему году в %,79.94601386885094
2016,"Импорт товаров, млн.долл. США",Темп роста к предыдущему году в %,88.22913028292001
2017,"Импорт товаров, млн.долл. США",Темп роста к предыдущему году в %,91.54460279757193
2018,"Импорт товаров, млн.долл. США",Темп роста к предыдущему году в %,113.55364157266928
2019,"Импорт товаров, млн.долл. США",Темп роста к предыдущему году в %,106.29324024119329
2020,"Импорт товаров, млн.долл. США",Темп роста к предыдущему году в %,94.04950288119906
2021,"Импорт товаров, млн.долл. США",Темп роста к предыдущему году в %,133.63492063492063
2022,"Импорт товаров, млн.долл. США",Темп роста к предыдущему году в %,122.75804727402304
2023,"Импорт товаров, млн.долл. США",Темп роста к предыдущему году в %,113.79003386550556
2024,"Импорт товаров, млн.долл. США",Темп роста к предыдущему году в %,119.17484396523868
2025,"Импорт товаров, млн.долл. США",Темп роста к предыдущему году в %,118.5170386437582
2026,"Импорт товаров, млн.долл. США",Темп роста к предыдущему году в %,100.52781344846922
2027,"Импорт товаров, млн.долл. США",Темп роста к предыдущему году в %,100.13233658775265
2028,"Импорт товаров, млн.долл. США",Темп роста к предыдущему году в %,100.03550035327126
2029,"Импорт товаров, млн.долл. США",Темп роста к предыдущему году в %,101.92305945948281
2030,"Импорт товаров, млн.долл. США",Темп роста к предыдущему году в %,101.84222364782487
2031,"Импорт товаров, млн.долл. США",Темп роста к предыдущему году в %,102.8054648555075
2032,"Импорт товаров, млн.долл. США",Темп роста к предыдущему году в %,101.90045092847613
2033,"Импорт товаров, млн.долл. США",Темп роста к предыдущему году в %,91.8573050529016
2034,"Импорт товаров, млн.долл. США",Темп роста к предыдущему году в %,90.78978794270682
2035,"Импорт товаров, млн.долл. США",Темп роста к предыдущему году в %,123.9859614798479
2014,Курс доллара к сомони,value,5.16
2015,Курс доллара к сомони,value,6.16
2016,Курс доллара к сомони,value,7.84
2014,Средняя цена нефти,value,97.38711909467344
2015,Средняя цена нефти,value,50.793041982976774
2016,Средняя цена нефти,value,42.7
2017,Средняя цена нефти,value,54.4
2018,Средняя цена нефти,value,71.07
2019,Средняя цена нефти,value,64.03
2020,Средняя цена нефти,value,42.8
2021,Средняя цена нефти,value,71
2014,Курс доллара к рос. Рублю,value,44.45
2015,Курс доллара к рос. Рублю,value,61
2016,Курс доллара к рос. Рублю,value,67.03
2017,Курс доллара к рос. Рублю,value,61
2018,Курс доллара к рос. Рублю,value,63
2019,Курс доллара к рос. Рублю,value,65.4
2020,Курс доллара к рос. Рублю,value,71.9
2021,Курс доллара к рос. Рублю,value,73.6
2013,"Денежные переводы, млн. долл. США",value,0
2014,"Денежные переводы, млн. долл. США",value,3900
2015,"Денежные переводы, млн. долл. США",value,2629.2
2016,"Денежные переводы, млн. долл. США",value,2185.7
2017,"Денежные переводы, млн. долл. США",value,2632
2018,"Денежные переводы, млн. долл. США",value,2568.6
2019,"Денежные переводы, млн. долл. США",value,2731.6
2020,"Денежные переводы, млн. долл. США",value,2559.8
2015,"Денежные переводы, %",value,67.41538461538461
2016,"Денежные переводы, %",value,83.13175110299711
2017,"Денежные переводы, %",value,120.41908770645561
2018,"Денежные переводы, %",value,97.59118541033435
2019,"Денежные переводы, %",value,106.34586934516857
2020,"Денежные переводы, %",value,93.71064577536976
2013,Денежные переводы % к ВВП,value,0
2014,Денежные переводы % к ВВП,value,0.4220027364460407
2015,Денежные переводы % к ВВП,value,0.3179389964964867
2016,Денежные переводы % к ВВП,value,0.31257852065055314
2017,Денежные переводы % к ВВП,value,0.3492365153342241
2018,Денежные переводы % к ВВП,value,0.3307914009727101
2013,"ВВП на душу населения, долл. США",value,1053.5032114520802
2014,"ВВП на душу населения, долл. США",value,1119.313461265679
2015,"ВВП на душу населения, долл. США",value,978.4572958066346
2016,"ВВП на душу населения, долл. США",value,808.6553678084639
2017,"ВВП на душу населения, долл. США",value,852.8252453302455
2018,"ВВП на душу населения, долл. США",value,860.0183582480987